la	ぁ
myv	みぇい
yv	いぇい
rv	れい
ryv	りぇい
wv	うぇい
whv	うぇい
vv	ゔぇい

kl	くう
kyl	きゅう
gl	ぐう
gyl	ぎゅう
sl	すう
syl	しゅう
shl	しゅう
sgl	しゅう
zl	ずう
jl	じゅう
zyl	じゅう
zgl	じゅう
tl	つう
tyl	ちゅう
thl	てゅう
dl	づう
dyl	ぢゅう
dhl	でゅう
nl	ぬう
nyl	にゅう
hl	ふう
hyl	ひゅう
hgl	ひゅう
fl	ふう
fyl	ふゅう
bl	ぶう
byl	びゅう
bgl	びゅう
pl	ぷう
pyl	ぴゅう
pgl	ぴゅう
ml	むう
myl	みゅう
yl	ゆう
rl	るう
ryl	りゅう
wl	うう
whl	うう
vl	ゔう

k-	こい
ky-	きょい
g-	ごい
gy-	ぎょい
s-	そい
sy-	しょい
sh-	しょい
sg-	しょい
z-	ぞい
j-	じょい
zy-	じょい
zg-	じょい
t-	とい
ty-	ちょい
th-	てょい
d-	どい
dy-	ぢょい
dh-	でょい
n-	のい
ny-	にょい
h-	ほい
hy-	ひょい
hg-	ひょい
f-	ふぉい
fy-	ふょい
b-	ぼい
by-	びょい
bg-	びょい
p-	ぽい
py-	ぴょい
pg-	ぴょい
m-	おい
my-	みょい
y-	よい
r-	ろい
ry-	りょい
w-	をい
wh-	うぉい
v-	ゔぉい

